scheme,phase_code,phase_order,group_id,group_label,presence_count,phase_known_geo_total,phase_share
landform,Pa,1,LF_CLASS::台地・段丘,台地・段丘,392,691,0.5672937771345875
landform,Pa,1,LF_CLASS::山地斜面等,山地斜面等,217,691,0.3140376266280753
landform,Pa,1,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,33,691,0.04775687409551375
landform,Pa,1,LF_CLASS::凹地・浅い谷,凹地・浅い谷,24,691,0.03473227206946455
landform,Pa,1,LF_CLASS::崖・段丘崖,崖・段丘崖,9,691,0.013024602026049204
landform,Pa,1,LF_CLASS::山麓堆積地形,山麓堆積地形,7,691,0.010130246020260492
landform,Pa,1,LF_CLASS::水部,水部,7,691,0.010130246020260492
landform,Pa,1,LF_CLASS::後背低地・湿地,後背低地・湿地,1,691,0.001447178002894356
landform,Pa,1,LF_CLASS::旧河道,旧河道,1,691,0.001447178002894356
landform,Jo,2,LF_CLASS::山地斜面等,山地斜面等,1679,3655,0.45937072503419973
landform,Jo,2,LF_CLASS::台地・段丘,台地・段丘,1475,3655,0.40355677154582764
landform,Jo,2,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,311,3655,0.08508891928864569
landform,Jo,2,LF_CLASS::凹地・浅い谷,凹地・浅い谷,59,3655,0.016142270861833105
landform,Jo,2,LF_CLASS::山麓堆積地形,山麓堆積地形,47,3655,0.012859097127222982
landform,Jo,2,LF_CLASS::崖・段丘崖,崖・段丘崖,34,3655,0.009302325581395349
landform,Jo,2,LF_CLASS::水部,水部,25,3655,0.006839945280437756
landform,Jo,2,LF_CLASS::砂州・砂丘,砂州・砂丘,10,3655,0.0027359781121751026
landform,Jo,2,LF_CLASS::後背低地・湿地,後背低地・湿地,9,3655,0.0024623803009575923
landform,Jo,2,LF_CLASS::自然堤防,自然堤防,3,3655,8.207934336525308e-4
landform,Jo,2,LF_CLASS::旧河道,旧河道,2,3655,5.471956224350205e-4
landform,Jo,2,LF_CLASS::扇状地,扇状地,1,3655,2.7359781121751026e-4
landform,Ya,3,LF_CLASS::台地・段丘,台地・段丘,374,643,0.5816485225505443
landform,Ya,3,LF_CLASS::山地斜面等,山地斜面等,173,643,0.2690513219284603
landform,Ya,3,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,54,643,0.08398133748055987
landform,Ya,3,LF_CLASS::凹地・浅い谷,凹地・浅い谷,9,643,0.013996889580093312
landform,Ya,3,LF_CLASS::崖・段丘崖,崖・段丘崖,8,643,0.012441679626749611
landform,Ya,3,LF_CLASS::自然堤防,自然堤防,8,643,0.012441679626749611
landform,Ya,3,LF_CLASS::山麓堆積地形,山麓堆積地形,5,643,0.007776049766718507
landform,Ya,3,LF_CLASS::後背低地・湿地,後背低地・湿地,5,643,0.007776049766718507
landform,Ya,3,LF_CLASS::砂州・砂丘,砂州・砂丘,5,643,0.007776049766718507
landform,Ya,3,LF_CLASS::水部,水部,2,643,0.003110419906687403
landform,Ko,4,LF_CLASS::台地・段丘,台地・段丘,953,1626,0.5861008610086101
landform,Ko,4,LF_CLASS::山地斜面等,山地斜面等,397,1626,0.24415744157441574
landform,Ko,4,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,134,1626,0.08241082410824108
landform,Ko,4,LF_CLASS::崖・段丘崖,崖・段丘崖,58,1626,0.03567035670356704
landform,Ko,4,LF_CLASS::自然堤防,自然堤防,21,1626,0.012915129151291513
landform,Ko,4,LF_CLASS::凹地・浅い谷,凹地・浅い谷,18,1626,0.01107011070110701
landform,Ko,4,LF_CLASS::砂州・砂丘,砂州・砂丘,18,1626,0.01107011070110701
landform,Ko,4,LF_CLASS::山麓堆積地形,山麓堆積地形,8,1626,0.004920049200492005
landform,Ko,4,LF_CLASS::旧河道,旧河道,7,1626,0.004305043050430504
landform,Ko,4,LF_CLASS::後背低地・湿地,後背低地・湿地,6,1626,0.0036900369003690036
landform,Ko,4,LF_CLASS::水部,水部,4,1626,0.0024600246002460025
landform,Ko,4,LF_CLASS::扇状地,扇状地,1,1626,6.150061500615006e-4
landform,Ko,4,LF_CLASS::旧水部,旧水部,1,1626,6.150061500615006e-4
landform,Na,5,LF_CLASS::山地斜面等,山地斜面等,791,1678,0.47139451728247916
landform,Na,5,LF_CLASS::台地・段丘,台地・段丘,543,1678,0.32359952324195473
landform,Na,5,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,201,1678,0.1197854588796186
